Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Diogo Jota,140000,177800,17.63888889,7280000,9245600,,44775,#REF!,Reserve,F,CF,27,Portugal,Liverpool,Premier League,
Darwin Núñez,140000,177800,17.63888889,7280000,9245600,,44743,#REF!,Starter,F,CF,25,Uruguay,Liverpool,Premier League,
Sébastien Haller,163462,176538.96,17.51378571,8500000,9180000,,44748,#REF!,Reserve,F,CF,30,Cote d'Ivoire,Borussia Dortmund,Bundesliga,
Nordi Mukiele,161538,174461.04,17.30764286,8400000,9072000,,45532,#REF!,Reserve,D,RB,26,France,Bayer Leverkusen,Bundesliga,
Warren Zaïre-Emery,161538,174461.04,17.30764286,8400000,9072000,,45409,#REF!,Starter,M,CM,18,France,Paris Saint-Germain,Ligue 1,
Álvaro Morata,160192,173007.36,17.16342857,8330000,8996400,1850000,45492,#REF!,Starter,F,CF,31,Spain,AC Milan,Serie A,
Marcos Llorente,160192,173007.36,17.16342857,8330000,8996400,,44426,#REF!,Reserve,M,RM,29,Spain,Atletico Madrid,La Liga,
Axel Witsel,160192,173007.36,17.16342857,8330000,8996400,,45456,#REF!,Starter,D,CB,35,Belgium,Atletico Madrid,La Liga,
Piotr Zieliński,160192,173007.36,17.16342857,8330000,8996400,1850000,45474,#REF!,Reserve,M,CM,30,Poland,Inter Milan,Serie A,
Douglas Luiz,160192,173007.36,17.16342857,8330000,8996400,930000,45474,#REF!,Reserve,M,CM,26,Brazil,Juventus,Serie A,
Noussair Mazraoui,135000,171450,17.00892857,7020000,8915400,,45517,#REF!,Starter,D,RB,26,Morocco,Manchester United,Premier League,
 Fred                      ,134615,170961.05,16.96042163,7000000,8890000,                 ," Aug 13, 2023     ",#REF!, Starter , M    , CM   ,31, Brazil                           ,Fenerbahce,UEFA Europa League,
 Edin Dzeko                ,134615,170961.05,16.96042163,7000000,8890000,                 ," Jul 1, 2023      ",#REF!, Reserve , F    , CF   ,38, Bosnia-Herzegovina               ,Fenerbahce,UEFA Europa League,
 Dusan Tadic               ,134615,170961.05,16.96042163,7000000,8890000,                 ," Jul 16, 2023     ",#REF!, Reserve , F    , LW   ,35, Serbia                           ,Fenerbahce,UEFA Europa League,
 Renato Sanches           ,133077,169007.79,16.76664583,6920000,8788400,                 ," Aug 5, 2024      ",#REF!, Reserve , M    , CM   ,27, Portugal                         ,Benfica,UEFA Champions League,
César Azpilicueta,153846,166153.68,16.4835,8000000,8640000,,45473,#REF!,Reserve,D,CB,35,Spain,Atletico Madrid,La Liga,
Raphaël Guerreiro,153846,166153.68,16.4835,8000000,8640000,,45108,#REF!,Starter,D,LB,30,Portugal,Bayern Munich,Bundesliga,
Emre Can,153846,166153.68,16.4835,8000000,8640000,,45129,#REF!,Starter,M,DM,30,Germany,Borussia Dortmund,Bundesliga,
Mikel Merino,130000,165100,16.37896825,6760000,8585200,,45531,#REF!,Reserve,M,CM,28,Spain,Arsenal FC,Premier League,
Ollie Watkins,130000,165100,16.37896825,6760000,8585200,,45205,#REF!,Starter,F,CF,28,England,Aston Villa,Premier League,
Cole Palmer,130000,165100,16.37896825,6760000,8585200,,45517,#REF!,Starter,F,AM,22,England,Chelsea,Premier League,
Abdoulaye Doucouré,130000,165100,16.37896825,6760000,8585200,,45233,#REF!,Starter,M,CM,31,Mali,Everton,Premier League,
Bernd Leno,130000,165100,16.37896825,6760000,8585200,,45273,#REF!,Starter,K,GK,32,Germany,Fulham,Premier League,
Matheus Nunes,130000,165100,16.37896825,6760000,8585200,,45170,#REF!,Reserve,M,CM,26,Portugal,Manchester City,Premier League,
 Youssef En-Nesyri         ,128269,162901.63,16.16087599,6670000,8470900,                 ," Jul 24, 2024     ",#REF!, Starter , F    , CF   ,27, Morocco                          ,Fenerbahce,UEFA Europa League,
Marcus Thuram,147885,159715.8,15.84482143,7690000,8305200,640000,45108,#REF!,Starter,F,CF,27,France,Inter Milan,Serie A,
Romelu Lukaku,147885,159715.8,15.84482143,7690000,8305200,2560000,45533,#REF!,Starter,F,CF,31,Belgium,Napoli,Serie A,
Presnel Kimpembe,147692,159507.36,15.82414286,7680000,8294400,,45280,#REF!,Reserve,D,CB,29,France,Paris Saint-Germain,Ligue 1,
Jordan Pickford,125000,158750,15.74900794,6500000,8255000,,44981,#REF!,Starter,K,GK,30,England,Everton,Premier League,
Danny Ings,125000,158750,15.74900794,6500000,8255000,,44946,#REF!,Reserve,F,CF,32,England,West Ham United,Premier League,
Benjamin Henrichs,145192,156807.36,15.55628571,7550000,8154000,,45429,#REF!,Reserve,D,RB,27,Germany,RB Leipzig,Bundesliga,
David Raum,145192,156807.36,15.55628571,7550000,8154000,11320000,44773,#REF!,Starter,D,LB,26,Germany,RB Leipzig,Bundesliga,
Matthias Ginter,145192,156807.36,15.55628571,7550000,8154000,,44743,#REF!,Starter,D,CB,30,Germany,SC Freiburg,Bundesliga,
